,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value,age,age_group,wealth_segment_binary,RFM_segments_predicted,RFM_score,customer_title,customer_title_description,customer_rank
0,Chickie,Brister,Male,86,1957-07-12,General Manager,Manufacturing,Mass Customer,N,Yes,14,45 Shopko Center,4500,QLD,Australia,6,1,1.71875,65,51-70,2,Bronze,11,Very Loyal,"Most recent, buys often, spends large amount of money",2
1,Morly,Genery,Male,69,1970-03-22,Structural Engineer,Property,Mass Customer,N,No,16,14 Mccormick Park,2113,NSW,Australia,11,1,1.71875,53,51-70,2,Platinum,9,Recent Customer,"Bought recently, not very often, average money spent",4
2,Ardelis,Forrester,Female,10,1974-08-28,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,10,5 Colorado Crossing,3505,VIC,Australia,5,1,1.71875,48,31-50,0,Platinum,11,Very Loyal,"Most recent, buys often, spends large amount of money",2
3,Lucine,Stutt,Female,64,1979-01-28,Account Representative III,Manufacturing,Affluent Customer,N,Yes,5,207 Annamark Plaza,4814,QLD,Australia,1,4,1.703125,44,31-50,0,Bronze,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
4,Melinda,Hadlee,Female,34,1965-09-21,Financial Analyst,Financial Services,Affluent Customer,N,No,19,115 Montana Place,2093,NSW,Australia,9,4,1.703125,57,51-70,0,Gold,9,Recent Customer,"Bought recently, not very often, average money spent",4
5,Druci,Brandli,Female,39,1951-04-29,Assistant Media Planner,Entertainment,High Net Worth,N,Yes,22,89105 Pearson Terrace,4075,QLD,Australia,7,6,1.671875,71,71-92,1,Platinum,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
6,Rutledge,Hallt,Male,23,1976-10-06,Compensation Analyst,Financial Services,Mass Customer,N,No,8,7 Nevada Crossing,2620,NSW,Australia,7,6,1.671875,46,31-50,2,Platinum,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
7,Nancie,Vian,Female,74,1972-12-27,Human Resources Assistant II,Retail,Mass Customer,N,Yes,10,85 Carioca Point,4814,QLD,Australia,5,8,1.65625,50,31-50,2,Gold,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
8,Duff,Karlowicz,Male,50,1972-04-28,Speech Pathologist,Manufacturing,Mass Customer,N,Yes,5,717 West Drive,2200,NSW,Australia,10,8,1.65625,50,31-50,2,Silver,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
9,Barthel,Docket,Male,72,1985-08-02,Accounting Assistant IV,IT,Mass Customer,N,Yes,17,80 Scofield Junction,4151,QLD,Australia,5,10,1.640625,37,31-50,2,Gold,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
10,Rockwell,Matson,Male,94,1995-01-01,Programmer Analyst I,Retail,High Net Worth,N,No,3,3682 Crowley Point,4573,QLD,Australia,6,10,1.640625,28,20-30,1,Gold,3,Evasive Customer,"Very low recency, Very low frequency, small amount spent",10
11,Wheeler,Winward,Male,48,1999-08-30,Environmental Specialist,Manufacturing,Mass Customer,N,No,10,3 Golden Leaf Point,3216,VIC,Australia,8,12,1.625,23,20-30,2,Silver,12,Platinum Customer,"Most recent buy, buys often, most spent",1
12,Melba,Spellacy,Female,38,1976-12-09,VP Marketing,Health,Mass Customer,N,No,4,0591 Anzinger Circle,2232,NSW,Australia,10,14,1.59375,46,31-50,2,Gold,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
13,Mandie,Feares,Female,32,1964-04-19,Clinical Specialist,Health,Mass Customer,N,No,10,39 Kedzie Pass,4053,QLD,Australia,8,14,1.59375,58,51-70,2,Bronze,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
14,Dukie,Swire,Male,88,1954-03-31,Associate Professor,Manufacturing,Affluent Customer,N,Yes,5,64 Granby Parkway,2500,NSW,Australia,8,16,1.5625,69,51-70,0,Silver,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
15,Marcelia,Monkleigh,Female,61,1993-08-22,Associate Professor,Manufacturing,Mass Customer,N,Yes,4,610 Swallow Street,4051,QLD,Australia,6,17,1.546875,29,20-30,2,Platinum,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
16,Winnifred,Beswetherick,Female,83,1976-06-08,Actuary,Financial Services,Mass Customer,N,No,14,61 4th Street,3040,VIC,Australia,10,17,1.546875,46,31-50,2,Bronze,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
17,Odilia,Quick,Female,65,1938-11-09,General Manager,Manufacturing,Affluent Customer,N,Yes,11,1550 Russell Way,2222,NSW,Australia,11,19,1.53125,84,71-92,0,Silver,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
18,Karly,Willavize,Female,2,1954-08-12,Internal Auditor,Manufacturing,High Net Worth,N,No,12,193 North Point,2190,NSW,Australia,10,19,1.53125,68,51-70,1,Gold,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
19,Teddie,Burchill,Male,11,1968-12-21,Programmer I,Manufacturing,Mass Customer,N,Yes,13,321 Raven Plaza,2161,NSW,Australia,9,21,1.515625,54,51-70,2,Bronze,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
20,Gaston,Dallaghan,Male,44,1993-09-29,Financial Analyst,Financial Services,Mass Customer,N,Yes,8,656 Fuller Street,2783,NSW,Australia,7,21,1.515625,29,20-30,2,Silver,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
21,Otis,Ottey,Male,26,1998-02-05,Quality Engineer,Financial Services,Mass Customer,N,No,3,1562 Merchant Street,4744,QLD,Australia,4,23,1.5,25,20-30,2,Platinum,12,Platinum Customer,"Most recent buy, buys often, most spent",1
22,Tabbatha,Averill,Female,5,1977-12-17,Quality Control Specialist,Financial Services,Affluent Customer,N,Yes,13,663 8th Parkway,2257,NSW,Australia,8,23,1.5,45,31-50,0,Platinum,12,Platinum Customer,"Most recent buy, buys often, most spent",1
23,Brena,Schnitter,Female,78,1982-10-11,Account Executive,Manufacturing,Mass Customer,N,No,4,67 Shelley Street,4703,QLD,Australia,5,25,1.484375,40,31-50,2,Bronze,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
24,Rourke,Gillbard,Male,11,1945-08-03,Associate Professor,Property,Mass Customer,N,No,17,75 Cordelia Trail,4817,QLD,Australia,4,26,1.46875,77,71-92,2,Bronze,3,Evasive Customer,"Very low recency, Very low frequency, small amount spent",10
25,Dyane,Burwell,Female,19,1952-06-27,Engineer II,Retail,Mass Customer,N,Yes,7,51 Hooker Court,2640,NSW,Australia,2,26,1.46875,70,51-70,2,Platinum,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
26,Claudine,Barstowk,Female,71,1966-07-20,Nurse,Property,High Net Worth,N,Yes,5,1859 Forest Circle,4000,QLD,Australia,11,26,1.46875,56,51-70,1,Gold,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
27,Blinnie,Roze,Female,84,1960-12-10,Librarian,Entertainment,High Net Worth,N,No,11,44557 Rutledge Court,4171,QLD,Australia,7,26,1.46875,62,51-70,1,Silver,9,Recent Customer,"Bought recently, not very often, average money spent",4
28,Rhona,De Freyne,Female,45,1960-11-22,Associate Professor,Health,High Net Worth,N,No,8,11184 East Drive,3056,VIC,Australia,10,30,1.4609375,62,51-70,1,Bronze,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
29,Sharron,Claibourn,Female,62,1980-01-26,Associate Professor,Financial Services,High Net Worth,N,Yes,17,555 Hermina Avenue,2280,NSW,Australia,8,30,1.4609375,43,31-50,1,Silver,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
30,Brien,Heaton,Male,70,1951-11-28,Clinical Specialist,Health,Mass Customer,N,Yes,12,8 Novick Trail,2470,NSW,Australia,2,32,1.453125,71,71-92,2,Gold,9,Recent Customer,"Bought recently, not very often, average money spent",4
31,Sybilla,MacCart,Female,88,1987-01-15,Paralegal,Financial Services,Mass Customer,N,Yes,7,74 Welch Pass,2620,NSW,Australia,7,32,1.453125,36,31-50,2,Gold,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
32,Mikel,McNess,Male,71,1981-09-22,Nurse,Financial Services,Mass Customer,N,No,9,3 Pleasure Drive,4122,QLD,Australia,9,32,1.453125,41,31-50,2,Platinum,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
33,Maisie,Maddox,Female,27,1977-05-09,Assistant Manager,Financial Services,Affluent Customer,N,No,20,8 Dennis Point,3226,VIC,Australia,9,32,1.453125,45,31-50,0,Silver,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
34,Arleen,Casbolt,Female,48,1975-05-10,Senior Quality Engineer,Financial Services,Affluent Customer,N,Yes,13,41042 Lotheville Crossing,4817,QLD,Australia,1,36,1.44765625,47,31-50,0,Silver,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
